sentence	label
we live in, coppell	Statement-non-opinion
and we correct them	Quotation
oh, it's unbelievable,	Appreciation
there's no official document signed or anything?	Declarative Yes-No-Question
it's  just kind of one room	Statement-non-opinion
and i can, you know,	Quotation
ooh, that's great.	Appreciation
so that will give you some idea of where i'm at.	Statement-opinion
that you,	Uninterpretable
but, when,	Uninterpretable
and, and, to those that have never worked and had, you know, and have stayed home with the kids, kind of does your heart good	Statement-opinion
oh, i, i definitely would.	Affirmative Non-yes Answers
my dad's in the hospital.	Statement-non-opinion
by then,	Statement-opinion
now, see, east texas,	Uninterpretable
where, where are you?	Wh-Question
good luck in your car buying.	Conventional-closing
and, there was a lake,	Statement-non-opinion
they're trying to get ratings.	Statement-opinion
have you participated in anything like that?	Yes-No-Question
it is kind,	Uninterpretable
uh, i don't, agree with that.	Reject
you shouldn't be watching them with your little girl,	Quotation
uh, then i,	Uninterpretable
well, do you have an  older car?	Yes-No-Question
oh, so you  ,	Uninterpretable
you know, it, there's really, uh,	Uninterpretable
i mean, you know, what about the rights,  to  privacy,	Rhetorical-Question
have you seen this shannon field show	Declarative Yes-No-Question
she's the office supervisor,	Statement-non-opinion
what about the mini skirt?	Wh-Question
did it make a big difference?	Yes-No-Question
i don't like strange people coming to my door, um,	Statement-non-opinion
oh, it's like,	Uninterpretable
well, she does not have it,	Reject
uh, this thing	Uninterpretable
more lax?	Signal-non-understanding
that wouldn't be too bad.	Appreciation
well,  the dark horses,	Repeat-phrase
say?	Signal-non-understanding
i don't know if you're a a radio talk, uh, person listener.	Declarative Yes-No-Question
well, that's a thought.	Appreciation
and so they, they, they don't,	Statement-non-opinion
he just never,	Uninterpretable
and i got it,	Uninterpretable
so, do you go to the movies often,	Yes-No-Question
i mean, that, that,	Uninterpretable
that as far as	Uninterpretable
well, what is your newspaper?	Wh-Question
or, uh, you know. but then again, those that have physically assaulted somebody, uh, that's extremely tough to put them into some kind of program  out in  the community if they're of a violent sort and to say	Statement-opinion
a whole lot,	Summarize/Reformulate
and, another thing that's really good about, uh, family reunions, is having everybody just cook whatever is their specialty,  and bring it.  at, because nobody it seemed like, liked the same thing.	Statement-non-opinion
you didn't get a big kick out of killing them like some people do?	Declarative Yes-No-Question
and, um, it's, it's, you know,	Uninterpretable
and ugh,	Appreciation
huh. do they have a policy where they counsel people if they come back positive,	Yes-No-Question
i, i can't, i can't envision spending that much money, and on, on something along those lines.	Statement-non-opinion
that was really called  roughing it,	Collaborative Completion
that's another thing that,	Uninterpretable
what, what do you envision for the next twenty years as far as women in american society?	Wh-Question
what's his name?	Wh-Question
i, uh, was, uh, you know,	Uninterpretable
but it's it is instrumental.	Statement-non-opinion
what if you had a fire or something with babies?	Rhetorical-Question
but if your door comes open, you know, it's not going to do you any good.	Statement-opinion
one comes to mind here	Hold Before Answer/Agreement
they ...	Uninterpretable
, isn't tigon , uh, part of g t e or vice versa or something like that.	Yes-No-Question
but we're in a thirty year old house that would probably sell for forty-five thousand.	Statement-non-opinion
and, and that way we can be sure, you know,	Statement-opinion
i was just like, god set this, up for me.	Statement-non-opinion
and i do agree that they exist	Agree/Accept
who was in fisher king?	Self-talk
oh! like a	Acknowledge (Backchannel)
what is, uh, is a marsala wine a sweeter wine?	Yes-No-Question
well, well, that is good.	Appreciation
we keep our newspapers, and stuff like that and we keep our newspapers and stuff like that	Statement-non-opinion
the, oh, the	Uninterpretable
so it's not real early	Statement-non-opinion
and, uh, uh, what, what kind of, uh, what kind of news normally interests you,	Wh-Question
is plano beginning to experience the, the kinds of things that are more common in the metropolitan, you know, in the urban area?	Yes-No-Question
and i really,	Uninterpretable
and drain it real good.	Action-directive
that's probably  true.	Maybe/Accept-part
like half day  programs.	Collaborative Completion
you can work yourself to death.	Statement-opinion
patty might.	3rd-party-talk
well, the ones that we were test driving were the, uh, were the new ones  there.	Affirmative Non-yes Answers
strictly your skill.	Summarize/Reformulate
oh i bet it is.	Appreciation
or do you get to stay home with them?	Or-Clause
was i supposed to do something?	Yes-No-Question
so, you see,	Uninterpretable
what they,	Uninterpretable
eighty-six?	Repeat-phrase
and there	Uninterpretable
uh, what are your favorite children's books?	Wh-Question
i heard,	Uninterpretable
i just can't get over this.	Quotation
toronto?	Signal-non-understanding
but, uh, we get, uh,	Uninterpretable
oh, in between the	Uninterpretable
i would think, i would think a cave would be, could have problems like that, too.	Declarative Yes-No-Question
well, it's been very nice talking with you.	Conventional-closing
you would.	Agree/Accept
well listen, it was good talking with you.	Conventional-closing
what's, what are some other questions they have,	Wh-Question
not like texas where everything comes to a stand still.	Summarize/Reformulate
it certainly is	Agree/Accept
and so i	Uninterpretable
we, we usually collect a, you know, collect a quite a bit	Statement-non-opinion
how far is houston?	Wh-Question
and then, uh, before the divorce she had saved for my college.	Statement-non-opinion
but, uh, i don't know if, you know, the,	Statement-opinion
we came here, we just moved into this, well, we moved in in november and put all, all the landscaping in this, this year.	Statement-non-opinion
but  they had a good time	Statement-non-opinion
and you would literally see the pollution on your furniture,	Statement-non-opinion
if i was going to buy a ford product, that's what i would buy.	Statement-opinion
well, hopefully once they have, uh, you know, once they've checked them off the list	Uninterpretable
but they wanted to do it.	Statement-opinion
crank,	Uninterpretable
"never say a word when you're wife spends money""."	Quotation
got to go take care of the children,	Conventional-closing
and i'm in california visiting right now.	Conventional-opening
and, uh, uh, you know, like my, my child that,	Uninterpretable
i didn't go	Negative Non-no Answers
i tell you what, i, i don't think i really have,	Negative Non-no Answers
but, just recently i've been to a couple	Statement-non-opinion
they don't have a southern accent up there though.	Declarative Yes-No-Question
and yet, how did i turn out the way i did turn out.	Rhetorical-Question
that is the washington post	Declarative Yes-No-Question
but, uh, uh, the winter gets long.	Statement-opinion
do you have pets?	Yes-No-Question
uh, and it, you know, it,	Uninterpretable
oh, don't you hate that?	Backchannel in Question Form
is that the new,	Uninterpretable
well, we can talk about something else.	Offers, Options Commits
how  do you blow yours up?	Wh-Question
boy that's a hard issue	Hold Before Answer/Agreement
but, i think,	Statement-opinion
not the deans and things like that.	Summarize/Reformulate
i enjoyed talking to you, too.	Conventional-closing
you're going to lock me up one day, aren't you.	Quotation
in this particular area, uh, you know, i've, uh, i think i pay about, uh, oh thirty-five hundred for, for taxes on my four bedroom house, you know. and which is a lot of money.	Statement-opinion
oh i think so too,	Agree/Accept
oh, well that's pretty good.	Appreciation
did you, have you seen that one?	Yes-No-Question
do you want,	Yes-No-Question
anymore.	Collaborative Completion
do you remember when you were in washington, sam the argentine baker?	Yes-No-Question
like when,	Uninterpretable
these were, uh, trees that, that wintered.	Statement-non-opinion
do you, do you have an idea of, of how much.	Yes-No-Question
i mean are you single do you cook every night for yourself?	Yes-No-Question
and, uh, you know, i mean, i, i guess as we get older, you're probably going,	Uninterpretable
now i like to go out like several times a year.	Statement-non-opinion
you know, really.	Acknowledge (Backchannel)
why don't you start?	Action-directive
what part of, uh, pennsylvania do you live in?	Wh-Question
didn't one,	Uninterpretable
there was a lot more to it than that.	Affirmative Non-yes Answers
how many cats do you have?	Wh-Question
east or west, i'm from pittsburgh. *listen	Yes-No-Question
one of the things you wonder is what that's going to do to us.	Rhetorical-Question
why should i go out of my way when it doesn't matter.	Rhetorical-Question
what you're,	Uninterpretable
oh, what's that?	Wh-Question
um, i don't really think we have anything in the works as of yet.	Negative Non-no Answers
um very	Uninterpretable
like, um, i have, i come from a family of twelve children,	Statement-non-opinion
well, i tell you this,	Hold Before Answer/Agreement
wastes  your future.	Summarize/Reformulate
um, i haven't really read anything like that in, in, in years.	Negative Non-no Answers
and there is like an,	Uninterpretable
it's sort of,	Uninterpretable
but, uh, i'd like to, uh, eventually i'd like to work up, if, if my wife does get interested, and maybe get involved in a league in a, in a mixed, mixed doubles league, or something like that.	Statement-non-opinion
how are you today?	Conventional-opening
they, they fear being a burden to, to family members.	Statement-opinion
do you know which way it is the ratio,	Yes-No-Question
and, uh, i know, here, you know, you don't have to have any reason,	Statement-non-opinion
i thought, now that looks sharp	Statement-non-opinion
you don't know if their complaints are legitimate.	Summarize/Reformulate
that's what you do, uh,	Backchannel in Question Form
much stronger.	Appreciation
and it was, uh,	Uninterpretable
but down,	Uninterpretable
talking to speaker yeah,	Acknowledge (Backchannel)
"and some people said to me, ""well, that's our wintertime."""	Statement-non-opinion
it got real cold,	Affirmative Non-yes Answers
we remodeled and saved a bunch of really nice ash cabinets, uh which had been in the original, remodeling of our kitchen.	Statement-non-opinion
can you,  how can you, how can you expect to,	Rhetorical-Question
but that, uh, i guess that goes along with the general idea that the federal government had to, uh, was expending so much money on defense, uh, that, that the program now is a, uh, program now is, uh,	Statement-opinion
they can't get to the these centers.	Statement-non-opinion
but i know they're going to start now.	Statement-non-opinion
uh, what is the topic?	Wh-Question
bet they hated that.	Summarize/Reformulate
how do you feel about the,	Wh-Question
are they paroling, uh, like murderers	Yes-No-Question
and, uh, we'll be i guess talking around the country.	Conventional-closing
so where are you?	Wh-Question
uh, i think, with, uh	Statement-non-opinion
and i have been totally engulfed with golden delicious apples.	Statement-non-opinion
but i'll bet that means your state sales tax is pretty high.	Declarative Yes-No-Question
and it was just above my head without having someone there to give me the advice as i went along.	Statement-non-opinion
have you ever seen murphy brown, or anything like that?	Yes-No-Question
you want to go ahead and start?	Yes-No-Question
we set a table up,	Statement-non-opinion
but, uh, and he's, you know, he tries his best,	Statement-non-opinion
oh, oh well,	Acknowledge (Backchannel)
what is the nature of your company's business?	Wh-Question
it can get very expensive,	Agree/Accept
you had to come home and  clean before you could  even do anything probably.	Summarize/Reformulate
did that help you?	Yes-No-Question
well, i, i, i come from kind of a biased opinion because i'm a, a therapist and a drug and alcohol counselor.	Dispreferred Answers
how long did you live there?	Wh-Question
so, so let's see,	Hold Before Answer/Agreement
i think i agree with you.	Agree/Accept
wednesday at seven thirty,	Repeat-phrase
carry all that cash with you.	Summarize/Reformulate
that i just.	Uninterpretable
there were maybe thirty of us on the boat.	Statement-non-opinion
is the million dollar question here?	Yes-No-Question
that takes an awful lot of money and commitment,	Statement-opinion
that might	Agree/Accept
just the whole, uh, you know,	Uninterpretable
what, what's the deal,	Rhetorical-Question
now, it's not,	Uninterpretable
well, uh, now, i haven't done much fishing here in texas, uh, because i moved from ohio,	Hold Before Answer/Agreement
you do have a separate area.	Repeat-phrase
that is what i,	Uninterpretable
and especially when you've got the bush administration who has increased government expenditures, uh, beyond what any other president since world war two has done	Statement-non-opinion
i mean,  those things do happen.	Statement-opinion
you do skiing and stuff	Declarative Yes-No-Question
well, i watch in the evening with my kids	Affirmative Non-yes Answers
and it's not a, it's not a place for tourists,	Statement-non-opinion
a junk room,	Repeat-phrase
what do you have, at home?	Open-Question
and i, i, i, i, i often,	Uninterpretable
oh  definitely.	Affirmative Non-yes Answers
eating right and no cholesterol and all that.	Summarize/Reformulate
computers.	Statement-non-opinion
oh, i can't think of what that was called.	Statement-non-opinion
they must have enough other stuff because the way the oil has been the last few years, that, that really has not been, the industry that is bringing in the money for the taxes, i wouldn't think.	Negative Non-no Answers
agreed,	Agree/Accept
not quite,	Negative Non-no Answers
and before, in a western or something, in the, in the olden days,	Statement-opinion
boom!	Quotation
uh, i don't remember.	Other Answers
now, what,	Uninterpretable
uh, around nine or ten i think.	Affirmative Non-yes Answers
he was in that?	Backchannel in Question Form
were you in the band?	Yes-No-Question
like, if, if our, our generation,	Statement-opinion
now, boy, i really need to get out, you know, and apply something, you know,	Quotation
or, you know, it's just,	Uninterpretable
and then they had,	Uninterpretable
so please end your conversation.	Quotation
you going,	Uninterpretable
and that's, that's it's like, uh,	Uninterpretable
criminal courts?	Signal-non-understanding
notre dame	Yes-No-Question
large classes.	Summarize/Reformulate
has that been the cutlass or the sierra?	Yes-No-Question
so you like a, a variety.	Summarize/Reformulate
i, i'm not sure	Hedge
and, uh, that sort of thing.	Uninterpretable
how much of your resource should you dedicate to, uh, making things work for others?	Rhetorical-Question
oh. um.	Acknowledge (Backchannel)
and how it fits with the character  , right.	Summarize/Reformulate
was going to cost millions of dollars.	Statement-non-opinion
we have no morals, when we, talk about the crime and all that in the city,	Statement-opinion
i'm also wondering why our taxes are still so high considering like the world's probably in better shape now than it has been in the last fifty years	Rhetorical-Question
i'm sandy.	Conventional-opening
uh, but then why not pay, pay the sales tax	Rhetorical-Question
it's hard  to get out a lot and do that yard work.	Collaborative Completion
uh, whether it's,	Uninterpretable
well, uh, how do you all communicate? like to plan it and every thing.	Open-Question
i think two.	Negative Non-no Answers
i think, if we, a generation went without debt, then the next generation,	Statement-opinion
oh, you,	Uninterpretable
uh, i'd say another, which is a local writer here in plano, uh, is, uh,	Statement-opinion
tell me what you think about the vietnam war.	Action-directive
and my son plays football.	Statement-non-opinion
do they all have the small children too, that come?	Yes-No-Question
uh, you've got,	Uninterpretable
so you're going do i want a a green lawn or a muddy feet in the house.	Rhetorical-Question
that's good, too,	Appreciation
and away you go, right.	Yes-No-Question
had to wear dresses, didn't you?	Yes-No-Question
i think we're both in agreement on this subject.	Statement-opinion
i was down in texas for two years,	Statement-non-opinion
it, it just seems like there was always something to do.	Statement-non-opinion
now, you didn't hear me say that.	Action-directive
um, interesting.	Appreciation
and we're to not let you do it, you know.	Quotation
do you do it yourself	Yes-No-Question
i've got, the,	Uninterpretable
you had the same problems there, right?	Yes-No-Question
and it, you know, it,	Uninterpretable
but, does your sister live in a big community?	Yes-No-Question
uh, one,	Uninterpretable
i'm not french, laroute, gastro lamink	Statement-non-opinion
oh, me, i, uh, good grief, i read the times, los angeles times.	Statement-non-opinion
who's the other one that's doing so well this year,	Wh-Question
i mean what do you, what, what do you find interesting versus what do you find boring?	Wh-Question
"uh-huh. *used to mean ""you're welcome"""	Other
and they were going to cancel it,	Statement-non-opinion
something, something happens,	Statement-non-opinion
i was just.	Uninterpretable
it wasn't forty-eight,	Reject
well i appreciate talking to you.	Conventional-closing
so your wife,	Summarize/Reformulate
i think our courts have too many opportunities for them to go back and get one more chance.	Statement-opinion
there's a thing i just,	Uninterpretable
but,   i mean,   yeah.	Hedge
there, there's no, no question the, the end result is great	Statement-opinion
what are you hoping for, a boy or a girl?	Yes-No-Question
and i expect you're right in regards to having two parents now.	Agree/Accept
but usually i, i will try to pay everything off the next month	Statement-non-opinion
oh, did you see that?	Yes-No-Question
but, uh, other changes, um, just people seem to be more outspoken now individually, rather than collectively.	Statement-opinion
what advice.	Repeat-phrase
oh, you mean for like smog and stuff?	Yes-No-Question
you don't have any carpet down in your house?	Declarative Yes-No-Question
uh, but, uh, yeah.	Uninterpretable
well, considering you moved here from california, i guess, the rain for the past few weeks has been different than what you have down there.	Declarative Yes-No-Question
plain yogurt?	Declarative Yes-No-Question
and it's  twice a week?	Declarative Yes-No-Question
i've actually i've driven,	Statement-non-opinion
he, um,	Uninterpretable
a matter of choice, or compulsion?	Yes-No-Question
you know what day lilies are?	Yes-No-Question
and how much crab meat did you use?	Wh-Question
or for, you know,	Uninterpretable
that's the way i looked at it.	Agree/Accept
but if	Uninterpretable
so, and, did he, is he the one that got you connected with us?	Yes-No-Question
the ones that blink off and on.	Declarative Yes-No-Question
you know, i think you are right.	Agree/Accept
i have had this real problem with a, a private individual.	Statement-non-opinion
that seems to happen.	Agree/Accept
i can't believe i did that.	Statement-non-opinion
some of them i do on a sun,	Statement-non-opinion
and we probably still have about another year to go before we're completely out of the hole.	Statement-non-opinion
but what are you doing?	Wh-Question
uh, so, do you think our politicians are honest at this point in time?	Yes-No-Question
well, it was really good to talk to you.	Conventional-closing
do you think there should be drug testing for political officials?	Yes-No-Question
i mean, uh.	Uninterpretable
maybe that's the case.	Maybe/Accept-part
but the other side of it, to me,	Uninterpretable
today,	Uninterpretable
ooh, that sounds,	Uninterpretable
that's fantastic exercise.	Appreciation
it would be sort of,	Uninterpretable
not fun	Appreciation
he may be having to drive over here to lewisville some time.	Statement-non-opinion
i mean, i was coming in from my car just a few minutes ago	Statement-non-opinion
oh, that is not a problem anyway,	Appreciation
but. do you, um, have any ideas on anything that would make,	Yes-No-Question
well, i mean, it's real,	Uninterpretable
you  shouldn't have left it there.	Quotation
you all did it yourselves?	Yes-No-Question
well, see that's it.	Appreciation
um, well, it depends,	Hold Before Answer/Agreement
just talk to them about it?	Yes-No-Question
i think they did a great job.	Statement-opinion
oh, that sounds really neat.	Appreciation
are you all located in texas?	Yes-No-Question
what else do i wear?	Self-talk
not too often.	Statement-non-opinion
there isn't any time,	Agree/Accept
what do you think is, the most promising, or practical book, uh, of that kind you've read recently?	Wh-Question
it was, it was raspberries and blueberries and, and strawberries on a plate with like a custard on the bottom.	Statement-non-opinion
but, uh, if,	Uninterpretable
i'm going here, here and here	Quotation
well, the plastic, cans and glass, they give you this little tub	Statement-non-opinion
uh, i have the experience, uh,	Statement-non-opinion
so, there's ...	Uninterpretable
well, i wonder,	Uninterpretable
did you see that one?	Yes-No-Question
and what would you, uh, cook in, uh, uh, let's see, if you were giving a dinner party?	Wh-Question
uh,  go ahead.	Action-directive
but, i mean, is not that, uh, is that a reflection then of what is really happening in the real world?	Yes-No-Question
and so i think, uh, you know, things,	Uninterpretable
so i don't know, uh,	Hedge
i think that maybe that's why some people do it is, uh, to see the other cultures or, you know and some of that.	Statement-opinion
and it, and the economy here in dallas, i mean, it, it's steady,	Statement-non-opinion
we're twenty eight, and he's been working at t i for five years,	Statement-non-opinion
and, uh, they haven't had a reunion since then.	Statement-non-opinion
but then you would have a lot of money	Quotation
well  we  don't have a t v,	Dispreferred Answers
so i had it, had it all over my hands.	Statement-non-opinion
they give the person the option for a jury.	Statement-non-opinion
do you like rap music?	Yes-No-Question
well, no sir.	Negative Non-no Answers
uh, as i say, i worked with	Statement-non-opinion
that is their very favorite.	Statement-non-opinion
richard jung julio recorded an album at the same time as ,	Yes-No-Question
my boss,	Uninterpretable
and it would, uh,	Uninterpretable
um, occasionally.	Affirmative Non-yes Answers
uh, oh no	Appreciation
they're going to serve about a quarter.	Quotation
uh, i couldn't tell you for sure.	Other Answers
i work with them quite a bit though.	Statement-non-opinion
but at some point i would like to go to moscow and, and, to, just to see all these things that you can see on television now and can read about	Statement-non-opinion
they forget or, you know, you know,	Statement-non-opinion
agreed.	Agree/Accept
it can be a real issue.	Statement-opinion
how did you do?	Open-Question
what do you, what other, what dishes do you serve with it?	Wh-Question
this part of the country,	Uninterpretable
what do you, what do you think about them?	Open-Question
uh, but this one is, uh, is	Uninterpretable
and then my youngest two have never been.	Statement-non-opinion
i just want out.	Quotation
are you finding it tough trying to find what you want	Yes-No-Question
and i don't know that in general the american people are that interested, you know, to listen to, to as much, uh, uh, you know,	Statement-opinion
do you get the,	Yes-No-Question
it, you know, it was like.	Uninterpretable
interesting,	Acknowledge (Backchannel)
they wanted to be like men,	Statement-opinion
well, you know, uh, now here's something that, uh, first occurred to me when they started having all these problems with these automatic, uh, weapons.	Statement-non-opinion
they've got everything here from the, uh, french room which is ultra, ultra to, um, um, dean ferrings , uh, uh, restaurant which is the mansion on turtle creek.	Statement-non-opinion
those flowers, remember those little ones you gave me?	Yes-No-Question
but, uh, uh, but there is something to be said about	Uninterpretable
or a dependent of one.	Collaborative Completion
i mean, i've,	Uninterpretable
do you have, is it a fairly large house?	Yes-No-Question
i know that, um,	Uninterpretable
well, what's your perspective on it?	Wh-Question
but, um, their,	Uninterpretable
chop them up, huh?	Collaborative Completion
and i'm in garland	Conventional-opening
so it was a, it was a, you know,	Uninterpretable
so i, i, i,	Uninterpretable
this late?	Yes-No-Question
and what is t i?	Wh-Question
and i think it,	Uninterpretable
well, are your children now,	Yes-No-Question
have you had any former suzuki students?	Yes-No-Question
but what kind of things are you  looking for?	Open-Question
but isn't it part of our income,	Yes-No-Question
so you have to go to a lesser engineering school.	Summarize/Reformulate
i'm a physician.  uh  and, as is my husband.	Statement-non-opinion
well did you see fatal attraction?	Yes-No-Question
so that, uh,	Uninterpretable
uh, i'm not sure if i'm familiar with that, or not.	Declarative Wh-Question
that's a pretty rough area there, isn't it?	Yes-No-Question
um, i'm trying to think of what else we like to eat.	Hold Before Answer/Agreement
so,  uh, what's	Uninterpretable
what about, uh, white collar crimes like, uh, theft of trade secrets.	Open-Question
and i do not, you know,	Uninterpretable
it got to where the, tomorrow the boat was still sitting there	Statement-non-opinion
oh, is she still there?	Yes-No-Question
oh, you are kidding.	Declarative Yes-No-Question
and, uh, of course flying , uh,	Uninterpretable
usually it's the younger people doing it.	Statement-non-opinion
uh, and so i, you  know i,	Uninterpretable
that could work.	Appreciation
are you here in local texas,	Yes-No-Question
see i was,	Uninterpretable
oh, the scary one?	Yes-No-Question
do you just have one son?	Yes-No-Question
do you, uh, do most of your cooking at home	Yes-No-Question
that, uh.	Uninterpretable
whatever happened, we knew about it about the same time that they knew about it.	Statement-non-opinion
well they call it the speech lab that is setting this thing up.	Statement-non-opinion
we use our credit cards sometimes for a big purchase,	Statement-non-opinion
are they still,	Yes-No-Question
oh, cool	Appreciation
and i guess it may be one of the best, uh, that anyone's doing.	Statement-opinion
it  just,	Uninterpretable
the pop-up trailer?	Yes-No-Question
well that's a, that's a,	Uninterpretable
so i had a	Uninterpretable
or was this just your own design of,	Yes-No-Question
challenges.	Collaborative Completion
it's settling unevenly?	Yes-No-Question
you say your, you go to school?	Declarative Yes-No-Question
this relative may work even a weirder shift like weekends, or something, you know.	Statement-non-opinion
you live in pennsylvania?	Yes-No-Question
how long is this going to go on, do you know?	Yes-No-Question
well, i'm with you.	Appreciation
well, he's a man,	Quotation
what's	Uninterpretable
and that is, uh,	Uninterpretable
trying to think of,	Hedge
and that, uh ,	Uninterpretable
i, i think they do.	Agree/Accept
and now they're in school	Statement-non-opinion
well are they going to beat, are they going to beat oakland?	Yes-No-Question
and it's also, right now it's, uh, the,	Uninterpretable
what do you feed them?	Wh-Question
and you're right.	Agree/Accept
and, you know, it went through like,	Statement-non-opinion
i don't know. you know,	Other Answers
i, i, tell you what,	Other
it's easier to find painters,	Other Answers
and we budget them into what we call our, our needs and wants list.	Statement-non-opinion
huh. prime air.	Acknowledge (Backchannel)
that's well, it's wonderful in one respect,	Appreciation
and, uh, as far as, uh, you know	Uninterpretable
there has,	Agree/Accept
you're welcome.	Conventional-closing
and, course, you know,	Uninterpretable
oh, mine had a very short fuse.	Statement-non-opinion
in  some cases	Uninterpretable
i mean, do people around that area seem to do a lot of renovation?	Yes-No-Question
there's no sales tax either?	Signal-non-understanding
they're, they're,	Uninterpretable
well, we're going to just, we're,	Quotation
i need to be here for them.	Quotation
boy, oh, boy.	Appreciation
well, how do, make, how do you, you cook crawfish?	Wh-Question
well, you know.	Uninterpretable
what baud rate do you get?	Rhetorical-Question
and i won't give the, the whole plot away	Statement-non-opinion
well, the reason,	Uninterpretable
or like what, what percent, do you then save or something?	Open-Question
they leave,	Uninterpretable
um, you know, what, what kind of a structure is it going to be.	Rhetorical-Question
i don't think that i would, uh,	Uninterpretable
oh, don't be concerned.	Action-directive
and, you know i've,	Uninterpretable
and then the iranian couldn't,	Uninterpretable
well, i don't.	Dispreferred Answers
wasn't it a woman.	Yes-No-Question
i plant gladiolas	Statement-non-opinion
where do you take your cans?	Wh-Question
and how old was he?	Wh-Question
or yes,	Agree/Accept
is he still around here?	Yes-No-Question
we're, we're trying,	Uninterpretable
are you in san antonio?	Yes-No-Question
that seems,	Uninterpretable
i mean you're not  going to,	Uninterpretable
or would you go into	Or-Clause
the color doesn't really matter for, because you have that light.	Declarative Yes-No-Question
are you in a apartment or a home?	Yes-No-Question
oh, oh, i see,	Acknowledge (Backchannel)
or, uh, uh, just for the sake of argument, i'm taking the,  a  con,	Offers, Options Commits
and i can't think of which one it was.	Hold Before Answer/Agreement
he was like, uh,	Statement-non-opinion
i think they try and suggest it.	Statement-non-opinion
do you, do you think that you should fund that if they have that as a benefit, if you would fund that somewhat from your salary that you are getting?	Yes-No-Question
not very often	Agree/Accept
it sort of takes the justice out of the justice system.	Summarize/Reformulate
so, um, and, and, and i, i don't know.	Hedge
and, uh, i had a baby the next day	Statement-non-opinion
it's, it is very sad.	Agree/Accept
and are you talking about public schools being lower level, high school level or  state school.	Yes-No-Question
oh, i hear that you're doing this,	Quotation
oh, golly!	Appreciation
agree	Repeat-phrase
she's not the one going to washington, huh?	Yes-No-Question
the, the cockatoos, are those the big ones?	Yes-No-Question
that it probably does.	Agree/Accept
real excited when i heard this.	Other
because,  you know, you,	Uninterpretable
well, i, as a matter of fact, i just finished editing a book on the topic.	Statement-non-opinion
i mean what part of town. in here in denison.	Declarative Wh-Question
thirty-three?	Repeat-phrase
but we really won't change in the long run.	Quotation
but i don't as much as i should know about it	Statement-non-opinion
uh, just barely.	Affirmative Non-yes Answers
so, she's, she's,	Uninterpretable
oh, as a,	Collaborative Completion
that they	Uninterpretable
well,  you look at the consumer guide.	Dispreferred Answers
so, uh, i don't know,	Hedge
carry on with the abuse,	Repeat-phrase
with the psychic and everything?	Declarative Yes-No-Question
but if you have talked about that in your classes, you know, in the last few years, i'm sure that you have heard,	Declarative Yes-No-Question
acoustics, uh.	Repeat-phrase
this is america.	Other
i think if, you know, the cities, locally, you know, they'd get more programs going so that you could do that, it'd make it a lot easier.	Statement-opinion
it's real easy to spend other people's money.	Yes-No-Question
oh, silence of the lambs?	Yes-No-Question
oh, do they really.	Acknowledge (Backchannel)
but, um, it's kind of a different situation because you're probably living in an apartment, right?	Yes-No-Question
guess i like to talk, that's all	Conventional-closing
does he get some royalties from that,  hopefully?	Yes-No-Question
so, it's kind of like they don't, you know.	Statement-non-opinion
uh, i wouldn't swear to it myself.	Hedge
the opera, yeah, it's right on track.	Agree/Accept
do you all just call each other up on the phone and say this is the weekend we are going to do it,	Yes-No-Question
it might be,	Uninterpretable
you know, i, i don't think so yet.	Negative Non-no Answers
i went to a small liberal arts college in virginia.	Statement-non-opinion
well, we haven't traveled outside the united states that much.	Statement-non-opinion
you've got the little bitty ones.	Summarize/Reformulate
so you have a child uh-huh.	Declarative Yes-No-Question
so, what is your opinion on, on drug testing?	Wh-Question
i would definitely  support that.	Statement-opinion
you think space would do that much for that	Yes-No-Question
so they would just pick whatever issue  kind of was at a  head that week	Summarize/Reformulate
uh,  personally i,	Uninterpretable
they got the forms in personnel	Action-directive
and, um, what about the whole situation with the refugees, the kurds?	Open-Question
and he had skipped bail	Statement-non-opinion
well, church softball leagues,	Uninterpretable
rather frugal.	Repeat-phrase
i'm in rochester, new york.	Statement-non-opinion
well, any more	Uninterpretable
i work with them all day,	Statement-non-opinion
there, you, you know,	Uninterpretable
and it's.	Uninterpretable
you said san antonio, right?	Yes-No-Question
and um, so that's, that's why i try and, uh, do,	Uninterpretable
oh, that makes a big difference.	Appreciation
but we both,	Uninterpretable
i think that generation, they're all at home right now	Statement-opinion
you know, is somewhat,	Uninterpretable
you're still trying to dry out?	Declarative Yes-No-Question
have you seen the movie, um, crossing delancy?	Yes-No-Question
and so my kids do not, uh, have an	Uninterpretable
law, law was a lot of fun until you get to law school	Statement-non-opinion
and, uh, there is a,	Uninterpretable
four boys.	Repeat-phrase
making it unanimous sometimes might, uh, let, the only thing, it might let more people get off.	Statement-opinion
what about you, you a,	Open-Question
well that would be an eye opener, wouldn't it?	Yes-No-Question
see, and,	Uninterpretable
uh, and, you're never, you're never	Statement-opinion
and, and, and,	Uninterpretable
so they all know it.	Summarize/Reformulate
the jails are already overloaded.	Statement-opinion
by the time it gets there	Statement-opinion
i would have thought ,	Uninterpretable
oh, you didn't.	Acknowledge (Backchannel)
or is  it all funded out of local taxes?	Or-Clause
oh, me too,	Agree/Accept
right. well,	Uninterpretable
do you know what my concern is?	Yes-No-Question
but he wrote, he wrote the illusion, and a bridge over a bridge to forever.	Statement-non-opinion
but i'm sure that one of these days, well look at ferraro ran for vice-president, and i guess one of these days, we'll, we'll eventually have,	Statement-opinion
and, uh, you put that in	Action-directive
